estimand_type	estimand	design_id	design	functional	local_state	method	quantity	point_estimate	ci_low	ci_high	estimate_ci	boot_se	n_boot_nonmissing	ci_type
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Matrix	Delta_h_matrix	-0.315042	-3.631629	3.001545	-0.3150 [-3.6316, 3.0015]	1.692136	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Tensor	Delta_h	-0.041086	-0.643106	0.560934	-0.0411 [-0.6431, 0.5609]	0.307153	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Matrix	Delta_h_matrix	-0.177948	-2.92805	2.572154	-0.1779 [-2.9280, 2.5722]	1.403113	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Tensor	Delta_h	-0.06036	-0.169539	0.048819	-0.0604 [-0.1695, 0.0488]	0.055703	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Matrix	Delta_h_matrix	-9.41e-4	-0.529701	0.527819	-0.0009 [-0.5297, 0.5278]	0.269775	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Tensor	Delta_h	6.1e-4	-0.022886	0.024106	0.0006 [-0.0229, 0.0241]	0.011988	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Matrix	Delta_h_matrix	0.013858	-0.012639	0.040355	0.0139 [-0.0126, 0.0404]	0.013519	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Tensor	Delta_h	-0.050875	-0.175443	0.073693	-0.0509 [-0.1754, 0.0737]	0.063555	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Matrix	Delta_h_matrix	-0.009633	-0.301069	0.281803	-0.0096 [-0.3011, 0.2818]	0.148692	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Tensor	Delta_h	0.007577	-0.380351	0.395505	0.0076 [-0.3804, 0.3955]	0.197923	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Matrix	Delta_h_matrix	-0.131711	-0.958783	0.695361	-0.1317 [-0.9588, 0.6954]	0.421975	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Tensor	Delta_h	-0.106502	-0.515075	0.302071	-0.1065 [-0.5151, 0.3021]	0.208455	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Matrix	Delta_h_matrix	-0.387739	-1.3781080000000001	0.60263	-0.3877 [-1.3781, 0.6026]	0.50529	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Tensor	Delta_h	-0.076644	-0.443569	0.290281	-0.0766 [-0.4436, 0.2903]	0.187206	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Matrix	Delta_h_matrix	-0.177156	-0.898305	0.543993	-0.1772 [-0.8983, 0.5440]	0.367933	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Tensor	Delta_h	-0.017685	-0.10129	0.06592	-0.0177 [-0.1013, 0.0659]	0.042656	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Matrix	Delta_h_matrix	0.001702	-0.154987	0.158391	0.0017 [-0.1550, 0.1584]	0.079943	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Tensor	Delta_h	0.010947	-0.006371	0.028265	0.0109 [-0.0064, 0.0283]	0.008836	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Matrix	Delta_h_matrix	0.007823	-0.011734	0.02738	0.0078 [-0.0117, 0.0274]	0.009978	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Tensor	Delta_h	-0.045648	-0.165345	0.074049	-0.0456 [-0.1653, 0.0740]	0.06107	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Matrix	Delta_h_matrix	0.012329	-0.090763	0.115421	0.0123 [-0.0908, 0.1154]	0.052598	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Tensor	Delta_h	0.03076	-0.285776	0.347296	0.0308 [-0.2858, 0.3473]	0.161498	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Matrix	Delta_h_matrix	-0.110974	-0.495348	0.2734	-0.1110 [-0.4953, 0.2734]	0.196109	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Tensor	Delta_h	-0.07885	-0.496549	0.338849	-0.0789 [-0.4965, 0.3388]	0.213112	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Matrix	Delta_h_matrix	-0.201027	-0.6531	0.251046	-0.2010 [-0.6531, 0.2510]	0.23065	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Tensor	Delta_h	-0.054256	-0.452738	0.344226	-0.0543 [-0.4527, 0.3442]	0.203307	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Matrix	Delta_h_matrix	-0.124523	-0.580978	0.331932	-0.1245 [-0.5810, 0.3319]	0.232885	500	bootstrap_se_centered
