estimand_type	estimand	design_id	design	functional	local_state	method	quantity	point_estimate	ci_low	ci_high	estimate_ci	boot_se	n_boot_nonmissing	ci_type
Psi1	Psi1: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Matrix	Psi1_matrix	1.418022	1.268819	1.567225	1.4180 [1.2688, 1.5672]	0.076124	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Tensor	Psi1	-0.004892	-0.016447	0.006663	-0.0049 [-0.0164, 0.0067]	0.005896	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Matrix	Psi1_matrix	-0.004892	-0.016447	0.006663	-0.0049 [-0.0164, 0.0067]	0.005896	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Tensor	Psi1	5.461256	5.314582	5.60793	5.4613 [5.3146, 5.6079]	0.074833	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Matrix	Psi1_matrix	5.461256	5.314582	5.60793	5.4613 [5.3146, 5.6079]	0.074833	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Tensor	Psi1	6.141617	5.173026	7.110208	6.1416 [5.1730, 7.1102]	0.494179	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Matrix	Psi1_matrix	6.141617	5.173026	7.110208	6.1416 [5.1730, 7.1102]	0.494179	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Tensor	Psi1	5.561601	4.594453	6.528749	5.5616 [4.5945, 6.5287]	0.493443	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Matrix	Psi1_matrix	5.561601	4.594453	6.528749	5.5616 [4.5945, 6.5287]	0.493443	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Tensor	Psi1	5.777217	4.826418	6.728016	5.7772 [4.8264, 6.7280]	0.485101	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Matrix	Psi1_matrix	5.777217	4.826418	6.728016	5.7772 [4.8264, 6.7280]	0.485101	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Tensor	Psi1	1.97127	1.82064	2.1219	1.9713 [1.8206, 2.1219]	0.076852	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Matrix	Psi1_matrix	1.97127	1.82064	2.1219	1.9713 [1.8206, 2.1219]	0.076852	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Tensor	Psi1	-0.004402	-0.017756	0.008952	-0.0044 [-0.0178, 0.0090]	0.006813	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Matrix	Psi1_matrix	-0.004402	-0.017756	0.008952	-0.0044 [-0.0178, 0.0090]	0.006813	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Tensor	Psi1	5.439325	5.2763	5.60235	5.4393 [5.2763, 5.6024]	0.083176	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Matrix	Psi1_matrix	5.439325	5.2763	5.60235	5.4393 [5.2763, 5.6024]	0.083176	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Tensor	Psi1	6.141617	5.198395	7.084839	6.1416 [5.1984, 7.0848]	0.481236	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Matrix	Psi1_matrix	6.141617	5.198395	7.084839	6.1416 [5.1984, 7.0848]	0.481236	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Tensor	Psi1	5.561601	4.572097	6.551105	5.5616 [4.5721, 6.5511]	0.504849	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Matrix	Psi1_matrix	5.561601	4.572097	6.551105	5.5616 [4.5721, 6.5511]	0.504849	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Tensor	Psi1	5.777217	4.7674	6.787034	5.7772 [4.7674, 6.7870]	0.515213	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Matrix	Psi1_matrix	5.777217	4.7674	6.787034	5.7772 [4.7674, 6.7870]	0.515213	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Tensor	Psi1	2.409736	2.236228	2.583244	2.4097 [2.2362, 2.5832]	0.088525	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Matrix	Psi1_matrix	2.409736	2.236228	2.583244	2.4097 [2.2362, 2.5832]	0.088525	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Tensor	Psi1	-0.00421	-0.0187	0.01028	-0.0042 [-0.0187, 0.0103]	0.007393	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Matrix	Psi1_matrix	-0.00421	-0.0187	0.01028	-0.0042 [-0.0187, 0.0103]	0.007393	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	Tensor	Psi1	5.647762	5.461251	5.834273	5.6478 [5.4613, 5.8343]	0.095159	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	Matrix	Psi1_matrix	5.647762	5.461251	5.834273	5.6478 [5.4613, 5.8343]	0.095159	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Tensor	Psi1	6.110862	5.241195	6.980529	6.1109 [5.2412, 6.9805]	0.443708	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Matrix	Psi1_matrix	6.110862	5.241195	6.980529	6.1109 [5.2412, 6.9805]	0.443708	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Tensor	Psi1	5.417334	4.61781	6.216858	5.4173 [4.6178, 6.2169]	0.407921	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Matrix	Psi1_matrix	5.417334	4.61781	6.216858	5.4173 [4.6178, 6.2169]	0.407921	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Tensor	Psi1	5.730712	4.850465	6.610959	5.7307 [4.8505, 6.6110]	0.449106	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Matrix	Psi1_matrix	5.730712	4.850465	6.610959	5.7307 [4.8505, 6.6110]	0.449106	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	Tensor	Psi1	5.035425	4.843902	5.226948	5.0354 [4.8439, 5.2269]	0.097716	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	Matrix	Psi1_matrix	5.035425	4.843902	5.226948	5.0354 [4.8439, 5.2269]	0.097716	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	Tensor	Psi1	-0.045571	-0.109404	0.018262	-0.0456 [-0.1094, 0.0183]	0.032568	500	bootstrap_se_centered
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	Matrix	Psi1_matrix	-0.045571	-0.109404	0.018262	-0.0456 [-0.1094, 0.0183]	0.032568	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Tensor	C_Psi1	-1.034892	-1.218963	-0.850821	-1.0349 [-1.2190, -0.8508]	0.093914	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Matrix	C_Psi1_matrix	-1.034892	-1.218963	-0.850821	-1.0349 [-1.2190, -0.8508]	0.093914	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Tensor	C_Psi1	-0.949181	-2.247292	0.34893	-0.9492 [-2.2473, 0.3489]	0.662301	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Matrix	C_Psi1_matrix	-0.949181	-2.247292	0.34893	-0.9492 [-2.2473, 0.3489]	0.662301	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Tensor	C_Psi1	-2.421155	-3.673796	-1.168514	-2.4212 [-3.6738, -1.1685]	0.639103	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Matrix	C_Psi1_matrix	-2.421155	-3.673796	-1.168514	-2.4212 [-3.6738, -1.1685]	0.639103	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Tensor	C_Psi1	-0.711888	-1.909297	0.485521	-0.7119 [-1.9093, 0.4855]	0.610923	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Matrix	C_Psi1_matrix	-0.711888	-1.909297	0.485521	-0.7119 [-1.9093, 0.4855]	0.610923	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Tensor	C_Psi1	-0.41363	-0.600094	-0.227166	-0.4136 [-0.6001, -0.2272]	0.095135	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Matrix	C_Psi1_matrix	-0.41363	-0.600094	-0.227166	-0.4136 [-0.6001, -0.2272]	0.095135	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Tensor	C_Psi1	-0.005054	-0.01334	0.003232	-0.0051 [-0.0133, 0.0032]	0.004228	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Matrix	C_Psi1_matrix	-0.005054	-0.01334	0.003232	-0.0051 [-0.0133, 0.0032]	0.004228	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Tensor	C_Psi1	-1.012009	-1.208302	-0.815716	-1.0120 [-1.2083, -0.8157]	0.10015	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Matrix	C_Psi1_matrix	-1.012009	-1.208302	-0.815716	-1.0120 [-1.2083, -0.8157]	0.10015	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Tensor	C_Psi1	-0.949181	-2.203368	0.305006	-0.9492 [-2.2034, 0.3050]	0.639891	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Matrix	C_Psi1_matrix	-0.949181	-2.203368	0.305006	-0.9492 [-2.2034, 0.3050]	0.639891	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Tensor	C_Psi1	-2.421155	-3.738237	-1.104073	-2.4212 [-3.7382, -1.1041]	0.671981	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Matrix	C_Psi1_matrix	-2.421155	-3.738237	-1.104073	-2.4212 [-3.7382, -1.1041]	0.671981	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Tensor	C_Psi1	-0.711888	-1.946904	0.523128	-0.7119 [-1.9469, 0.5231]	0.63011	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Matrix	C_Psi1_matrix	-0.711888	-1.946904	0.523128	-0.7119 [-1.9469, 0.5231]	0.63011	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Tensor	C_Psi1	-0.497262	-0.696898	-0.297626	-0.4973 [-0.6969, -0.2976]	0.101855	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Matrix	C_Psi1_matrix	-0.497262	-0.696898	-0.297626	-0.4973 [-0.6969, -0.2976]	0.101855	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Tensor	C_Psi1	-0.005864	-0.014774	0.003046	-0.0059 [-0.0148, 0.0030]	0.004546	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Matrix	C_Psi1_matrix	-0.005864	-0.014774	0.003046	-0.0059 [-0.0148, 0.0030]	0.004546	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Tensor	C_Psi1	-1.048	-1.272846	-0.823154	-1.0480 [-1.2728, -0.8232]	0.114717	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Matrix	C_Psi1_matrix	-1.048	-1.272846	-0.823154	-1.0480 [-1.2728, -0.8232]	0.114717	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Tensor	C_Psi1	-0.949181	-2.234047	0.335685	-0.9492 [-2.2340, 0.3357]	0.655544	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Matrix	C_Psi1_matrix	-0.949181	-2.234047	0.335685	-0.9492 [-2.2340, 0.3357]	0.655544	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Tensor	C_Psi1	-2.421155	-3.718807	-1.123503	-2.4212 [-3.7188, -1.1235]	0.662067	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Matrix	C_Psi1_matrix	-2.421155	-3.718807	-1.123503	-2.4212 [-3.7188, -1.1235]	0.662067	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Tensor	C_Psi1	-0.711888	-2.020131	0.596355	-0.7119 [-2.0201, 0.5964]	0.667471	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Matrix	C_Psi1_matrix	-0.711888	-2.020131	0.596355	-0.7119 [-2.0201, 0.5964]	0.667471	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Tensor	C_Psi1	-0.58234	-0.79865	-0.36603	-0.5823 [-0.7987, -0.3660]	0.110362	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Matrix	C_Psi1_matrix	-0.58234	-0.79865	-0.36603	-0.5823 [-0.7987, -0.3660]	0.110362	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Tensor	C_Psi1	-0.004608	-0.014091	0.004875	-0.0046 [-0.0141, 0.0049]	0.004838	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Matrix	C_Psi1_matrix	-0.004608	-0.014091	0.004875	-0.0046 [-0.0141, 0.0049]	0.004838	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	Tensor	C_Psi1	-1.106999	-1.401895	-0.812103	-1.1070 [-1.4019, -0.8121]	0.150457	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	Matrix	C_Psi1_matrix	-1.106999	-1.401895	-0.812103	-1.1070 [-1.4019, -0.8121]	0.150457	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Tensor	C_Psi1	-0.924118	-2.25415	0.405914	-0.9241 [-2.2542, 0.4059]	0.678588	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Matrix	C_Psi1_matrix	-0.924118	-2.25415	0.405914	-0.9241 [-2.2542, 0.4059]	0.678588	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Tensor	C_Psi1	-2.446574	-3.788389	-1.104759	-2.4466 [-3.7884, -1.1048]	0.684599	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Matrix	C_Psi1_matrix	-2.446574	-3.788389	-1.104759	-2.4466 [-3.7884, -1.1048]	0.684599	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Tensor	C_Psi1	-0.697124	-2.096036	0.701788	-0.6971 [-2.0960, 0.7018]	0.713731	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Matrix	C_Psi1_matrix	-0.697124	-2.096036	0.701788	-0.6971 [-2.0960, 0.7018]	0.713731	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	Tensor	C_Psi1	-1.005981	-1.303677	-0.708285	-1.0060 [-1.3037, -0.7083]	0.151886	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	Matrix	C_Psi1_matrix	-1.005981	-1.303677	-0.708285	-1.0060 [-1.3037, -0.7083]	0.151886	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	Tensor	C_Psi1	-0.1523	-0.218079	-0.086521	-0.1523 [-0.2181, -0.0865]	0.033561	500	bootstrap_se_centered
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	Matrix	C_Psi1_matrix	-0.1523	-0.218079	-0.086521	-0.1523 [-0.2181, -0.0865]	0.033561	500	bootstrap_se_centered
