estimand_type	estimand	design_id	design	functional	local_state	Tensor_point_estimate	Matrix_point_estimate	Tensor_ci_low	Matrix_ci_low	Tensor_ci_high	Matrix_ci_high	Tensor_estimate_ci	Matrix_estimate_ci	Tensor_boot_se	Matrix_boot_se	Tensor_n_boot_nonmissing	Matrix_n_boot_nonmissing
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	-0.076868	0.004602	-0.166932	-0.202167	0.013196	0.211371	-0.0769 [-0.1669, 0.0132]	0.0046 [-0.2022, 0.2114]	0.045951	0.105494	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	-0.010093	-0.00421	-0.033372	-0.028848	0.013186	0.020428	-0.0101 [-0.0334, 0.0132]	-0.0042 [-0.0288, 0.0204]	0.011877	0.012571	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	-0.103309	-0.062436	-0.230183	-0.179263	0.023565	0.054391	-0.1033 [-0.2302, 0.0236]	-0.0624 [-0.1793, 0.0544]	0.064732	0.059605	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	-0.016388	7.62e-4	-0.37924	-0.373377	0.346464	0.374901	-0.0164 [-0.3792, 0.3465]	0.0008 [-0.3734, 0.3749]	0.185128	0.190887	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	-0.413869	0.036973	-0.850876	-0.395132	0.023138	0.469078	-0.4139 [-0.8509, 0.0231]	0.0370 [-0.3951, 0.4691]	0.222963	0.220462	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	0.018891	0.096542	-0.436568	-0.339082	0.47435	0.532166	0.0189 [-0.4366, 0.4744]	0.0965 [-0.3391, 0.5322]	0.232377	0.222257	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	-0.07741	0.001564	-0.170586	-0.079895	0.015766	0.083023	-0.0774 [-0.1706, 0.0158]	0.0016 [-0.0799, 0.0830]	0.047539	0.041561	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	-0.004441	-0.001169	-0.023033	-0.021133	0.014151	0.018795	-0.0044 [-0.0230, 0.0142]	-0.0012 [-0.0211, 0.0188]	0.009486	0.010186	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	-0.070244	-0.015878	-0.18285	-0.089838	0.042362	0.058082	-0.0702 [-0.1828, 0.0424]	-0.0159 [-0.0898, 0.0581]	0.057452	0.037735	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	0.071175	0.060331	-0.349697	-0.261665	0.492047	0.382327	0.0712 [-0.3497, 0.4920]	0.0603 [-0.2617, 0.3823]	0.214731	0.164284	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	-0.068357	0.305026	-0.421717	0.022692	0.285003	0.58736	-0.0684 [-0.4217, 0.2850]	0.3050 [0.0227, 0.5874]	0.180286	0.144048	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	0.011421	0.062163	-0.402475	-0.168161	0.425317	0.292487	0.0114 [-0.4025, 0.4253]	0.0622 [-0.1682, 0.2925]	0.211171	0.117512	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	-0.069222	-0.017631	-0.177877	-0.089773	0.039433	0.054511	-0.0692 [-0.1779, 0.0394]	-0.0176 [-0.0898, 0.0545]	0.055436	0.036807	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	-0.159934	-0.098893	-0.231096	-0.191563	-0.088772	-0.006223	-0.1599 [-0.2311, -0.0888]	-0.0989 [-0.1916, -0.0062]	0.036307	0.047281	500	500
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	4.606851	4.44526	4.237491	3.266816	4.976211	5.623704	4.6069 [4.2375, 4.9762]	4.4453 [3.2668, 5.6237]	0.188449	0.601247	500	500
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	5.205787	5.337823	3.360871	3.082807	7.050703	7.592839	5.2058 [3.3609, 7.0507]	5.3378 [3.0828, 7.5928]	0.941284	1.150518	500	500
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	4.221254	3.376447	2.304763	0.664401	6.137745	6.088493	4.2213 [2.3048, 6.1377]	3.3764 [0.6644, 6.0885]	0.977802	1.383697	500	500
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	5.024137	5.090842	3.179817	2.505802	6.868457	7.675882	5.0241 [3.1798, 6.8685]	5.0908 [2.5058, 7.6759]	0.94098	1.318898	500	500
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	1.131079	0.997234	0.850959	0.553235	1.411199	1.441233	1.1311 [0.8510, 1.4112]	0.9972 [0.5532, 1.4412]	0.142918	0.22653	500	500
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	-0.006099	-0.014598	-0.028763	-0.027298	0.016565	-0.001898	-0.0061 [-0.0288, 0.0166]	-0.0146 [-0.0273, -0.0019]	0.011563	0.00648	500	500
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	4.588724	4.483393	4.340004	4.074006	4.837444	4.89278	4.5887 [4.3400, 4.8374]	4.4834 [4.0740, 4.8928]	0.126898	0.208871	500	500
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	5.205991	5.297664	3.703026	3.595896	6.708956	6.999432	5.2060 [3.7030, 6.7090]	5.2977 [3.5959, 6.9994]	0.766819	0.868249	500	500
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	3.581378	3.371032	1.989665	1.636145	5.173091	5.105919	3.5814 [1.9897, 5.1731]	3.3710 [1.6361, 5.1059]	0.812098	0.885146	500	500
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	5.139798	5.089094	3.735857	3.548407	6.543739	6.629781	5.1398 [3.7359, 6.5437]	5.0891 [3.5484, 6.6298]	0.716296	0.786065	500	500
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	1.568561	1.467703	1.327653	1.179603	1.809469	1.755803	1.5686 [1.3277, 1.8095]	1.4677 [1.1796, 1.7558]	0.122912	0.14699	500	500
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	-0.011119	-0.013878	-0.030493	-0.031805	0.008255	0.004049	-0.0111 [-0.0305, 0.0083]	-0.0139 [-0.0318, 0.0040]	0.009885	0.009147	500	500
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	4.540283	4.441433	4.286097	4.166488	4.794469	4.716378	4.5403 [4.2861, 4.7945]	4.4414 [4.1665, 4.7164]	0.129687	0.140278	500	500
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	5.178064	5.302648	3.723581	3.783903	6.632547	6.821393	5.1781 [3.7236, 6.6325]	5.3026 [3.7839, 6.8214]	0.742083	0.77487	500	500
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	3.633165	3.3045	2.067888	1.714933	5.198442	4.894067	3.6332 [2.0679, 5.1984]	3.3045 [1.7149, 4.8941]	0.798611	0.811003	500	500
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	5.100694	5.093311	3.505001	3.404654	6.696387	6.781968	5.1007 [3.5050, 6.6964]	5.0933 [3.4047, 6.7820]	0.814129	0.86156	500	500
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	1.911866	1.817643	1.639585	1.532171	2.184147	2.103115	1.9119 [1.6396, 2.1841]	1.8176 [1.5322, 2.1031]	0.138919	0.145649	500	500
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	-0.01386	-0.016069	-0.026458	-0.031356	-0.001262	-7.82e-4	-0.0139 [-0.0265, -0.0013]	-0.0161 [-0.0314, -0.0008]	0.006428	0.007799	500	500
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	ATE	NA	4.5649	4.507028	4.210764	4.145052	4.919036	4.869004	4.5649 [4.2108, 4.9190]	4.5070 [4.1451, 4.8690]	0.180681	0.184682	500	500
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	Local-Florida	NA	5.124635	5.196105	3.573872	3.597782	6.675398	6.794428	5.1246 [3.5739, 6.6754]	5.1961 [3.5978, 6.7944]	0.791206	0.815471	500	500
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	Local-Montana	NA	3.16656	2.960383	1.638572	1.457761	4.694548	4.463005	3.1666 [1.6386, 4.6945]	2.9604 [1.4578, 4.4630]	0.779586	0.766644	500	500
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	Local-Texas	NA	5.053302	4.99803	3.470391	3.424572	6.636213	6.571488	5.0533 [3.4704, 6.6362]	4.9980 [3.4246, 6.5715]	0.807607	0.802785	500	500
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	RowHet	NA	4.04652	3.994705	3.683594	3.623657	4.409446	4.365753	4.0465 [3.6836, 4.4094]	3.9947 [3.6237, 4.3658]	0.185166	0.18931	500	500
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	Trend	NA	-0.061933	-0.088118	-0.078815	-0.136066	-0.045051	-0.04017	-0.0619 [-0.0788, -0.0451]	-0.0881 [-0.1361, -0.0402]	0.0086130000000000009	0.024463	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	5.525212	5.449654	5.22418	4.097147	5.826244	6.802161	5.5252 [5.2242, 5.8262]	5.4497 [4.0971, 6.8022]	0.153588	0.690055	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	6.136772	6.293312	5.032941	3.411526	7.240603	9.175098	6.1368 [5.0329, 7.2406]	6.2933 [3.4115, 9.1751]	0.563179	1.470299	500	500
